 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ausgaben,Nebenkosten,absolute Ausgaben,Umsatz,Profit,Multiplikator,EP Verkauft/abbruch,realer Profit,realer Multiplikator,Stock Wert,,,,
"3.592,62 €","525,14 €","4.117,76 €","3.316,00 €","-801,76 €",81%,"2.003,90 €","1.312,10 €",165%,"1.579,97 €",,,,
,,,,,,,,,,,,,
,,,,, ,,,,,,,,
,,,,,,,,,,,,,
ID,Status,EP,listed am,Push,VP,verkauft am,Profit,Multiplikator,verkauft nach,Marke/Art,Typ,Grade,Supplier
8,Listed,"56,30 €",10.02.2026,"2,52 €",,,"-58,82 €",,,Balenciaga,Portmonee,B,Versitaire
9,Verkauft,"4,20 €",11.01.2026,,"9,99 €",11.01.2026,"5,79 €",238%,0,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
10,Abbruch,"4,20 €",,,"0,00 €",,"-4,20 €",0%,,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
11,Abbruch,"4,20 €",,,"0,00 €",,"-4,20 €",0%,,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
12,Verkauft,"4,20 €",11.01.2026,,"6,99 €",12.01.2026,"2,79 €",166%,1,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
13,Verkauft,"4,20 €",11.01.2026,,"6,29 €",12.01.2026,"2,09 €",150%,1,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
14,Abbruch,"4,20 €",,,"0,00 €",,"-4,20 €",0%,,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
15,Abbruch,"4,20 €",,,"0,00 €",,"-4,20 €",0%,,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
16,Abbruch,"4,20 €",,,"0,00 €",,"-4,20 €",0%,,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
17,Verkauft,"4,20 €",11.01.2026,,"6,29 €",11.01.2026,"2,09 €",150%,0,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
18,Verkauft,"4,20 €",11.01.2026,,"6,99 €",11.01.2026,"2,79 €",166%,0,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
19,Verkauft,"4,20 €",11.01.2026,,"6,29 €",12.01.2026,"2,09 €",150%,1,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
20,Verkauft,"4,20 €",11.01.2026,,"6,29 €",12.01.2026,"2,09 €",150%,1,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
21,Abbruch,"4,20 €",,,"0,00 €",,"-4,20 €",0%,,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
22,Verkauft,"4,20 €",11.01.2026,,"6,99 €",12.01.2026,"2,79 €",166%,1,Vintage Dressing,Gürtel,C,Trade Vintage (Fleek)
