sku,status,brand,type,style,grade,origin,supplier,purchase_price,sale_price,push_cost,markup,profit,roi,listed_on,sold_on,cancelled_on,order_id
214,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
215,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
216,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
217,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
218,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
219,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
220,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
221,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
222,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
223,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
224,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
225,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
226,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
227,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
228,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
229,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
230,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
231,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
232,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
233,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
234,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
235,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
236,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
237,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
238,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
239,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
240,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
241,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
242,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
243,Pending,"y2k, flared",Denim,,A,,5th Era Thrift (Fleek),8.71,0.0,0.0,,,,,,,-1
251,Pending,True Religon,Denim,,A,,Creed Vintage (Fleek),30.45,0.0,0.0,,,,,,,-1
252,Pending,True Religon,Denim,,A,,Creed Vintage (Fleek),30.45,0.0,0.0,,,,,,,-1
253,Pending,True Religon,Denim,,A,,Creed Vintage (Fleek),30.45,0.0,0.0,,,,,,,-1
254,Pending,True Religon,Denim,,A,,Creed Vintage (Fleek),30.45,0.0,0.0,,,,,,,-1
255,Pending,True Religon,Denim,,A,,Creed Vintage (Fleek),30.45,0.0,0.0,,,,,,,-1
256,Pending,True Religon,Denim,,A,,Creed Vintage (Fleek),30.45,0.0,0.0,,,,,,,-1
257,Pending,True Religon,Denim,,A,,Creed Vintage (Fleek),30.45,0.0,0.0,,,,,,,-1
8,Listed,Balenciaga,Portmonee,,B,,Versitaire,56.3,0.0,2.52,,,,2026-02-10,,,-1
39,Listed,Levis,Denim,,A,,Vibe Vintage (Fleek),6.5,0.0,0.0,,,,2026-02-14,,,-1
